product_name,brand,material_composition,hts_code,tariff_rate,country,base_price
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,79.51
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,22.37
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Germany,91.64
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,98.09
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,84.41
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,69.16
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,69.74
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,52.74
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,10.75
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,87.43
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,40.79
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,77.63
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,82.46
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,47.48
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,70.22
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,50.37
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,59.85
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,21.65
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,48.51
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,23.31
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,11.35
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,94.26
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Vietnam,15.24
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,2.57
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,33.94
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,15.87
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,23.58
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,62.76
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,58.03
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,91.64
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,28.74
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,58.23
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,21.83
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,68.91
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Vietnam,37.19
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,42.92
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,42.87
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,49.97
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,50.53
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,7.12
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,93.1
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,88.17
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,50.06
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,53.0
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,18.9
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,41.43
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,55.79
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,79.07
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,63.12
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,79.69
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,46.56
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,27.7
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,4.1
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,50.04
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,31.19
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,7.08
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,India,11.28
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,34.74
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,40.37
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,65.29
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Vietnam,69.27
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,43.09
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,29.43
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,24.11
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,65.32
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,48.48
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,37.54
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,56.08
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,71.22
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,94.71
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Vietnam,52.8
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,7.33
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,20.11
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,23.75
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,60.6
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,59.66
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,11.85
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,62.93
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,71.47
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,47.91
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,75.31
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,72.95
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,59.05
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,38.9
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,89.53
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Vietnam,65.12
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,98.92
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,26.04
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,19.63
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,47.03
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,63.49
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,96.24
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,69.32
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,53.97
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,53.19
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,45.42
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,13.79
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,70.27
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,87.82
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,32.4
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,11.11
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,86.14
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Vietnam,75.32
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,41.44
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,16.7
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,39.06
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,44.38
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,42.86
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,70.29
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Vietnam,67.17
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,12.06
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,60.4
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,46.08
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,99.7
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,35.4
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,84.1
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,88.52
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,84.4
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,4.39
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,98.33
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,14.79
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,52.56
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,18.96
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Vietnam,84.96
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,28.78
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,47.8
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,26.57
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,99.06
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,11.93
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,50.03
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,9.7
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,54.47
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,65.15
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,72.8
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,75.43
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,16.67
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,74.15
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,37.7
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,7.52
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,21.75
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,14.86
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,91.21
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,79.06
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,27.86
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Germany,36.78
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,97.61
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,85.97
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,56.36
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Vietnam,95.27
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,62.59
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,14.25
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,87.82
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,28.8
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,93.77
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Vietnam,61.1
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,83.09
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,54.64
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,23.05
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,33.36
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,18.34
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,51.95
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,22.51
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,3.73
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,71.42
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,57.42
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,4.93
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,27.73
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,71.99
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,80.21
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Vietnam,92.96
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,40.12
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,73.08
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,48.11
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,63.48
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,66.16
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,7.24
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,95.54
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,83.72
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Germany,20.8
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,89.6
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,79.77
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,76.55
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,20.13
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,54.89
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,44.29
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,88.77
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,76.1
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,82.16
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,56.34
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,42.12
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,12.89
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,46.4
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,28.83
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,28.67
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,4.39
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,3.22
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Vietnam,39.86
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,31.17
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,3.82
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,18.72
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,20.7
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,55.18
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,40.16
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,83.03
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Germany,37.67
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,51.11
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,75.62
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,46.33
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Germany,68.65
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,41.64
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,78.84
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,36.91
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,1.9
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,34.08
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,34.42
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,13.88
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,35.24
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,2.49
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,56.46
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,25.46
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,16.25
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,57.15
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,26.88
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,97.69
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,72.95
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,92.61
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,41.9
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,27.14
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,76.43
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,44.09
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Vietnam,17.24
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Vietnam,39.16
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,46.12
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,16.15
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,45.64
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,60.58
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,45.64
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,18.91
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,36.51
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Vietnam,62.53
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,62.21
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,41.29
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,94.42
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,94.04
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,India,19.0
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,65.08
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,54.07
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,45.74
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,43.71
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,46.64
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,40.65
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,3.18
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,71.43
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,India,96.45
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,18.57
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,56.73
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,72.28
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,79.22
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,44.83
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,35.9
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,33.53
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,23.74
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,96.04
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,8.41
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,83.58
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,99.17
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,77.54
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,24.38
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,46.04
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,38.99
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,32.62
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,50.24
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,16.64
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,83.96
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,62.25
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,77.01
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,40.57
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,30.72
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,India,6.8
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,India,60.62
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,8.62
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,82.7
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,51.37
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,56.73
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,77.75
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,73.06
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,76.94
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,90.26
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,11.81
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,78.19
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,33.15
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,63.42
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,64.25
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,75.0
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,46.01
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,1.92
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Vietnam,60.45
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,47.84
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,42.74
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,51.55
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Germany,38.8
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,39.87
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,3.1
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Vietnam,13.98
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Vietnam,92.36
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,79.5
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,49.38
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,59.91
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,19.86
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,79.05
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,78.65
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,41.57
